,corner,position,grade,first_move,second_move,third_move
756,17,9,2,B2,L,
757,17,11,1,U2,,
758,17,24,1,B2,,
759,17,26,2,R,D2,
760,17,26,2,R',F2,
761,17,26,2,U2,L,
762,17,26,2,B2,L',
763,17,12,2,U,F',
764,17,12,2,B,L,
765,17,12,2,R',U,
766,17,14,1,U,,
767,17,27,2,U,F2,
768,17,27,2,U',L2,
769,17,27,2,R2,D',
770,17,27,2,B2,D,
771,17,29,2,U,F,
772,17,29,2,R,D',
773,17,29,2,B',R,
774,17,15,1,R',,
775,17,30,1,R2,,
776,17,32,1,R,,
777,17,41,2,R,D,
778,17,41,2,B,L',
779,17,41,2,U',B,
780,17,43,2,U,R2,
781,17,43,2,U',B2,
782,17,46,1,U',,
783,17,48,2,U',B',
784,17,48,2,R',U',
785,17,48,2,B',R',
786,17,48,2,R2,D,
787,17,48,2,B2,D',
788,17,33,2,B,L2,
789,17,33,2,B',D2,
790,17,33,2,U2,F',
791,17,33,2,R2,F,
792,17,35,2,U,R',
793,17,35,2,R',F,
794,17,35,2,B',D',
795,17,38,2,R,B',
796,17,38,2,U',L',
797,17,38,2,B',D,
798,17,40,1,B',,
799,30,1,2,F,L2,
800,30,1,2,F',U2,
801,30,1,2,R2,B,
802,30,1,2,D2,B',
803,30,3,2,R',B,
804,30,3,2,F',U',
805,30,6,2,R,F',
806,30,6,2,F',U,
807,30,6,2,D',L',
808,30,8,1,F',,
809,30,9,2,R,U2,
810,30,9,2,D,U',
811,30,9,2,R',B2,
812,30,9,2,F2,L',
813,30,9,2,D2,L,
814,30,11,1,F2,,
815,30,24,1,D2,,
816,30,26,2,R,F2,
817,30,26,2,R',D2,
818,30,26,2,F2,L,
819,30,26,2,D2,L',
820,30,12,2,R,U,
821,30,12,2,F,L',
822,30,12,2,D,U2,
823,30,12,2,D',F,
824,30,14,2,D',F2,
825,30,14,2,R2,U,
826,30,14,2,F2,U',
827,30,27,1,D',,
828,30,29,2,D,R2,
829,30,29,2,R',D',
830,30,29,2,F',R',
831,30,29,2,D',F',
832,30,15,1,R,,
833,30,17,1,R2,,
834,30,32,1,R',,
835,30,41,2,F,L,
836,30,41,2,D,B2,
837,30,41,2,R',D,
838,30,43,2,D,B',
839,30,46,2,D,B,
840,30,46,2,D',L2,
841,30,46,2,R2,U',
842,30,46,2,F2,U,
843,30,48,1,D,,
844,30,33,1,F,,
845,30,35,2,R,F,
846,30,35,2,F,D,
847,30,38,2,F,D',
848,30,38,2,R',B',
849,30,38,2,D',L,
850,30,40,2,F,D2,
851,30,40,2,D,R,
852,30,40,2,F',R2,
853,30,40,2,R2,B',
854,30,40,2,D2,B,
855,32,1,2,D,L,
856,32,1,2,B,U',
857,32,1,2,R',B,
858,32,3,1,B,,
859,32,6,2,B,U2,
860,32,6,2,B',L2,
861,32,6,2,R2,F',
862,32,6,2,D2,F,
863,32,8,2,R,F',
864,32,8,2,B,U,
865,32,8,2,D',R,
866,32,9,1,B2,,
867,32,11,2,R,F2,
868,32,11,2,R',U2,
869,32,11,2,D2,L',
870,32,11,2,B2,L,
871,32,24,2,R,D2,
872,32,24,2,R',B2,
873,32,24,2,D2,L,
874,32,24,2,B2,L',
875,32,26,1,D2,,
876,32,12,2,D,L2,
877,32,12,2,D',F2,
878,32,12,2,R2,U,
879,32,12,2,B2,U',
880,32,14,2,B,R',
881,32,14,2,R',U,
882,32,14,2,D',F',
883,32,27,2,R,D',
884,32,27,2,D',F,
885,32,27,2,B',L',
886,32,29,1,D',,
887,32,15,1,R2,,
888,32,17,1,R',,
889,32,30,1,R,,
890,32,41,1,D,,
891,32,43,2,D,B,
892,32,43,2,B,R,
893,32,46,2,D,B',
894,32,46,2,R',U',
895,32,46,2,B',L,
896,32,48,2,R,D,
897,32,48,2,D,B2,
898,32,48,2,D',R2,
899,32,48,2,R2,U',
900,32,48,2,B2,U,
901,32,33,2,R,F,
902,32,33,2,D,L',
903,32,33,2,B',D,
904,32,35,2,B,R2,
905,32,35,2,B',D2,
906,32,35,2,R2,F,
907,32,35,2,D2,F',
908,32,38,1,B',,
909,32,40,2,R',B',
910,32,40,2,D',R',
911,32,40,2,B',D',
912,41,1,1,L,,
913,41,3,2,L,U,
914,41,3,2,B,R',
915,41,3,2,D',B,
916,41,6,2,D,F,
917,41,6,2,L,U',
918,41,6,2,B',L,
919,41,8,2,L,U2,
920,41,8,2,L',F2,
921,41,8,2,D2,R,
922,41,8,2,B2,R',
923,41,9,2,D,L2,
924,41,9,2,D',B2,
925,41,9,2,L2,U,
926,41,9,2,B2,U',
927,41,11,2,D,L',
928,41,11,2,L',F,
929,41,11,2,B',U',
930,41,24,2,D,L,
931,41,24,2,L,B,
932,41,24,2,B2,D,
933,41,26,1,D,,
934,41,12,1,L2,,
935,41,14,2,B,R2,
936,41,14,2,B',U2,
937,41,14,2,D2,F',
938,41,14,2,L2,F,
939,41,27,2,B',L2,
940,41,27,2,D2,F,
941,41,27,2,L2,F',
942,41,27,2,B2,D2,
943,41,29,1,D2,,
944,41,15,2,D,F2,
945,41,15,2,D',R2,
946,41,15,2,L2,U',
947,41,15,2,B2,U,
948,41,17,2,L,B',
949,41,17,2,D',R',
950,41,17,2,B',U,
951,41,30,2,D',R,
952,41,30,2,L',F',
953,41,30,2,B2,D',
954,41,32,1,D',,
955,41,43,1,B,,
956,41,46,1,B',,
957,41,48,1,B2,,
958,41,33,1,L',,
959,41,35,2,D,F',
960,41,35,2,B,R,
961,41,35,2,L',D,
962,41,38,2,D',B',
963,41,38,2,L',D',
964,41,38,2,B',L',
965,41,40,2,L,B2,
966,41,40,2,L',D2,
967,41,40,2,D2,R',
968,41,40,2,B2,R,
969,43,1,2,R',U',
970,43,1,2,B',L,
971,43,3,1,R',,
972,43,6,2,R,F2,
973,43,6,2,R',U2,
974,43,6,2,B2,L,
975,43,8,2,B,R',
976,43,8,2,R',U,
977,43,9,2,B,U',
978,43,9,2,R',B,
979,43,11,2,R2,U,
980,43,11,2,B2,U',
981,43,24,2,B,D,
982,43,26,2,R,F,
983,43,26,2,B',D,
984,43,12,2,B,U2,
985,43,12,2,B',L2,
986,43,12,2,R2,F',
987,43,14,1,R2,,
988,43,27,2,B,D2,
989,43,27,2,R2,F2,
990,43,27,2,B2,L2,
991,43,29,2,B,R2,
992,43,29,2,B',D2,
993,43,29,2,R2,F,
994,43,15,2,R,F',
995,43,15,2,B,U,
996,43,17,2,R2,U',
997,43,17,2,B2,U,
998,43,30,2,B,D',
999,43,32,2,R',B',
1000,43,32,2,B',D',
1001,43,41,1,B',,
1002,43,46,1,B2,,
1003,43,48,1,B,,
1004,43,33,2,R,D',
1005,43,33,2,B',L',
1006,43,35,1,R,,
1007,43,38,2,R,D2,
1008,43,38,2,R',B2,
1009,43,38,2,B2,L',
1010,43,40,2,R,D,
1011,43,40,2,B,R,
1012,46,1,2,U,B,
1013,46,1,2,L,U,
1014,46,1,2,B,L,
1015,46,3,2,L,U2,
1016,46,3,2,L',B2,
1017,46,3,2,U2,R,
1018,46,3,2,B2,R',
1019,46,6,1,L,,
1020,46,8,2,L,U',
1021,46,8,2,U',F,
1022,46,8,2,B',R',
1023,46,9,2,U',L',
1024,46,9,2,L',B',
1025,46,9,2,B',U',
1026,46,11,1,U',,
1027,46,24,2,U,B2,
1028,46,24,2,U',L2,
1029,46,24,2,B',D,
1030,46,24,2,L2,D',
1031,46,26,2,L,F',
1032,46,26,2,B,D,
1033,46,26,2,U',L,
1034,46,12,2,B,L2,
1035,46,12,2,B',U2,
1036,46,12,2,U2,F',
1037,46,12,2,L2,F,
1038,46,14,1,U2,,
1039,46,27,1,L2,,
